last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2022,618,468,0.243,0.234,0.00899999999999998,0.415,0.375,0.03999999999999998,0.311,0.297,0.014000000000000012
Freeman, Freddie,518692,2022,616,458,0.33,0.32,0.010000000000000009,0.526,0.553,-0.027000000000000024,0.396,0.409,-0.012999999999999956
Turner, Trea,607208,2022,610,456,0.305,0.282,0.02300000000000002,0.482,0.442,0.03999999999999998,0.359,0.343,0.01599999999999996
Lindor, Francisco,596019,2022,609,431,0.268,0.255,0.013000000000000012,0.444,0.428,0.016000000000000014,0.342,0.335,0.007000000000000006
Olson, Matt,621566,2022,608,397,0.243,0.25,-0.007000000000000006,0.477,0.456,0.020999999999999963,0.345,0.344,0.0010000000000000009
Guerrero Jr., Vladimir,665489,2022,603,451,0.276,0.286,-0.009999999999999953,0.481,0.478,0.0030000000000000027,0.354,0.359,-0.0050000000000000044
Judge, Aaron,592450,2022,601,352,0.307,0.303,0.0040000000000000036,0.683,0.705,-0.02199999999999991,0.452,0.459,-0.007000000000000006
Riley, Austin,663586,2022,599,394,0.282,0.276,0.00599999999999995,0.553,0.551,0.0020000000000000018,0.386,0.385,0.0010000000000000009
Abreu, José,547989,2022,599,435,0.309,0.296,0.013000000000000012,0.449,0.483,-0.033999999999999975,0.364,0.372,-0.008000000000000007
Swanson, Dansby,621020,2022,598,392,0.286,0.258,0.02799999999999997,0.449,0.459,-0.010000000000000009,0.344,0.339,0.004999999999999949
Bichette, Bo,666182,2022,598,420,0.279,0.277,0.0020000000000000018,0.474,0.455,0.01899999999999996,0.344,0.338,0.00599999999999995
Cronenworth, Jake,630105,2022,597,402,0.243,0.22,0.022999999999999993,0.394,0.36,0.03400000000000003,0.324,0.306,0.018000000000000016
Alonso, Pete,624413,2022,594,412,0.267,0.263,0.0040000000000000036,0.503,0.483,0.020000000000000018,0.356,0.351,0.0050000000000000044
Hoskins, Rhys,656555,2022,589,377,0.25,0.244,0.006000000000000005,0.467,0.462,0.0050000000000000044,0.35,0.347,0.0030000000000000027
Mullins, Cedric,656775,2022,586,427,0.265,0.239,0.026000000000000023,0.409,0.354,0.05499999999999999,0.321,0.294,0.027000000000000024
Nimmo, Brandon,607043,2022,585,415,0.266,0.263,0.0030000000000000027,0.419,0.408,0.01100000000000001,0.341,0.339,0.0020000000000000018
Bell, Josh,605137,2022,583,414,0.279,0.279,0,0.45,0.436,0.014000000000000012,0.357,0.355,0.0020000000000000018
Seager, Corey,608369,2022,583,434,0.247,0.286,-0.03899999999999998,0.456,0.51,-0.05399999999999999,0.333,0.375,-0.04199999999999998
Goldschmidt, Paul,502671,2022,581,382,0.325,0.262,0.063,0.607,0.501,0.10599999999999998,0.434,0.374,0.06
Suárez, Eugenio,553993,2022,579,322,0.233,0.217,0.016000000000000014,0.456,0.45,0.006000000000000005,0.344,0.339,0.004999999999999949
Ramírez, José,608070,2022,575,450,0.28,0.26,0.020000000000000018,0.525,0.413,0.11200000000000004,0.369,0.326,0.04299999999999998
Yelich, Christian,592885,2022,575,360,0.26,0.268,-0.008000000000000007,0.394,0.425,-0.030999999999999972,0.333,0.349,-0.01599999999999996
Profar, Jurickson,595777,2022,574,413,0.24,0.251,-0.01100000000000001,0.397,0.358,0.039000000000000035,0.325,0.32,0.0050000000000000044
Schwarber, Kyle,656941,2022,572,323,0.214,0.239,-0.024999999999999994,0.485,0.54,-0.05500000000000005,0.342,0.374,-0.03199999999999997
Ohtani, Shohei,660271,2022,572,361,0.265,0.272,-0.007000000000000006,0.531,0.558,-0.027000000000000024,0.372,0.386,-0.014000000000000012
Soto, Juan,665742,2022,572,370,0.241,0.267,-0.026000000000000023,0.454,0.509,-0.05499999999999999,0.378,0.407,-0.02899999999999997
Hernández, César,514917,2022,569,416,0.25,0.248,0.0020000000000000018,0.324,0.33,-0.006000000000000005,0.287,0.291,-0.0040000000000000036
Rosario, Amed,642708,2022,566,446,0.277,0.27,0.007000000000000006,0.395,0.387,0.008000000000000007,0.307,0.305,0.0020000000000000018
García, Adolis,666969,2022,565,372,0.249,0.245,0.0040000000000000036,0.445,0.441,0.0040000000000000036,0.318,0.317,0.0010000000000000009
Cron, C.J.,543068,2022,564,373,0.266,0.247,0.019000000000000017,0.491,0.44,0.05099999999999999,0.346,0.323,0.022999999999999965
Bregman, Alex,608324,2022,564,407,0.266,0.256,0.010000000000000009,0.468,0.419,0.049000000000000044,0.366,0.353,0.013000000000000012
