last_name, first_name,player_id,year,p_formatted_ip,p_era,p_opp_batting_avg,
Perez, Oliver,424144,2022,4.0,15.75,.444,
Wainwright, Adam,425794,2022,173.0,3.33,.252,
Greinke, Zack,425844,2022,114.2,4.00,.286,
Molina, Yadier,425877,2022,2.0,18.00,.500,
Verlander, Justin,434378,2022,152.0,1.84,.190,
Sanchez, Anibal,434671,2022,53.1,4.56,.227,
Escobar, Alcides,444876,2022,1.2,10.80,.375,
Jansen, Kenley,445276,2022,53.0,3.91,.204,
Chavez, Jesse,445926,2022,60.0,3.45,.262,
Detwiler, Ross,446321,2022,26.1,4.44,.287,
Kluber, Corey,446372,2022,142.1,4.36,.266,
Hill, Rich,448179,2022,102.2,4.56,.258,
Doolittle, Sean,448281,2022,5.1,0.00,.059,
Morton, Charlie,450203,2022,152.1,4.08,.226,
Kennedy, Ian,453178,2022,45.0,4.20,.247,
Bard, Daniel,453268,2022,52.1,2.06,.165,
Scherzer, Max,453286,2022,127.2,2.26,.207,
Melancon, Mark,453343,2022,47.0,4.98,.293,
Martin, Chris,455119,2022,48.0,3.56,.249,
Price, David,456034,2022,38.1,2.58,.247,
Cueto, Johnny,456501,2022,139.2,3.09,.259,
Bush, Matt,456713,2022,53.0,3.23,.196,
Wilson, Justin,458677,2022,3.2,2.45,.231,
Lynn, Lance,458681,2022,97.1,4.07,.235,
McGee, Jake,459429,2022,37.0,6.81,.275,
Clippard, Tyler,461325,2022,5.0,7.20,.286,
Chacin, Jhoulys,468504,2022,47.1,7.61,.282,
Carrasco, Carlos,471911,2022,135.0,3.80,.270,
Garcia, Luis,472610,2022,52.1,3.61,.251,
Phelps, David,475479,2022,55.2,2.75,.223,
Luetge, Lucas,476595,2022,51.1,2.63,.255,
Kershaw, Clayton,477132,2022,96.1,2.62,.211,
Hunter, Tommy,488984,2022,21.0,2.57,.253,
Miley, Wade,489119,2022,28.0,2.89,.204,
Romo, Sergio,489265,2022,18.0,7.50,.268,
Stammen, Craig,489334,2022,33.2,3.48,.267,
Yates, Kirby,489446,2022,7.0,5.14,.222,
Ottavino, Adam,493603,2022,56.2,2.06,.203,
Quintana, Jose,500779,2022,143.0,3.34,.258,
